gene	divergence	chrom	start
A1CF	0.0003763948	NC_071453.1	76029572
A2M	0.0	NC_071450.1	21862704
AARD	0.0	NC_071457.1	78689621
AARS1	0.0	NC_071461.1	28289326
AARS2	0.0007407408	NC_071445.1	48888294
AARSD1	0.0	NC_071446.1	117036035
AASS	0.0	NC_071449.1	122217283
AATF	0.0	NC_071446.1	93273267
AATK	0.0	NC_071446.1	132888638
ABCA10	0.0	NC_071446.1	121301970
ABCA12	0.000970874	NC_071447.1	133226635
ABCA13	0.0005709957142857143	NC_071449.1	14966923
ABCA2	0.0006556827906976744	NC_071442.1	182510129
ABCA4	0.0	NC_071448.1	129120983
ABCA6	0.0	NC_071446.1	121173917
ABCA8	0.000510204074074074	NC_071446.1	121033675
ABCB1	0.0	NC_071449.1	59505030
ABCB11	0.0	NC_071447.1	57414772
ABCB4	1.386425e-05	NC_071449.1	59574967
ABCB5	0.0	NC_071449.1	34841136
ABCB9	0.00203046	NC_071450.1	122575311
ABCC11	0.0	NC_071461.1	2554162
ABCC12	0.0	NC_071461.1	2482021
ABCC2	0.0	NC_071453.1	89417457
ABCC3	0.0013064849038461539	NC_071446.1	111755144
ABCC4	0.000137665	NC_071442.1	10104495
ABCC5	0.0	NC_071456.1	6718285
ABCC8	0.0	NC_071452.1	80108022
ABCD1	0.0	NC_071464.1	145013119
ABCD2	0.0	NC_071450.1	32581988
ABCG1	0.0001334816	NC_071462.1	46311036
ABCG2	0.0	NC_071444.1	105681665
ABCG4	0.0	NC_071452.1	16589737
ABHD12	0.0	NC_071446.1	29925798
ABHD15	0.0	NC_071446.1	100099596
ABHD17B	0.00192678	NC_071442.1	89751695
ABHD17C	0.0	NC_071447.1	25230809
ABHD3	0.0	NC_071454.1	59647971
ABHD6	0.0	NC_071456.1	33851699
ABI1	0.0	NC_071448.1	25322911
ABI2	0.00561798	NC_071447.1	121168894
ABL1	0.0	NC_071442.1	176554827
ABLIM1	0.0	NC_071453.1	104055402
ABLIM3	3.881383333333333e-05	NC_071443.1	45951535
ABR	0.0	NC_071446.1	59374597
ABRACL	0.0011415525	NC_071445.1	141869999
ABRAXAS1	0.0	NC_071444.1	110444519
ACAA2	0.00301205	NC_071454.1	87977629
ACACA	0.0	NC_071446.1	93520848
ACACB	0.0	NC_071450.1	108553261
ACADVL	0.0	NC_071446.1	69868823
ACAN	0.0015432088888888888	NC_071447.1	16328834
ACAP3	0.0	NC_071448.1	36674985
ACBD3	0.0	NC_071460.1	19204432
ACBD4	0.00035057	NC_071446.1	81554289
ACBD6	0.0	NC_071459.1	16462223
ACE	0.0009377338709677419	NC_071446.1	84766662
ACER3	0.0	NC_071452.1	60651699
ACHE	0.0	NC_071443.1	10892720
ACIN1	0.0	NC_071451.1	53278654
ACKR2	0.0	NC_071456.1	19414299
ACKR3	0.00106045	NC_071447.1	154329478
ACLY	0.002105264	NC_071446.1	87304179
ACMSD	0.0	NC_071447.1	92267676
ACO1	0.0	NC_071442.1	136625867
ACOT7	0.0	NC_071448.1	41286250
ACOX1	0.0	NC_071446.1	127937093
ACP5	0.0	NC_071463.1	10369911
ACP6	0.0	NC_071459.1	593414
ACSBG1	0.0054054	NC_071451.1	23133858
ACSF2	0.0	NC_071446.1	111958564
ACSF3	0.002133715	NC_071461.1	43378812
ACSL1	0.0	NC_071444.1	4706495
ACSL3	0.0	NC_071447.1	141099584
ACSL4	0.0	NC_071464.1	102197640
ACSL5	0.0	NC_071453.1	101996102
ACSL6	0.0	NC_071443.1	73324442
ACSM4	0.00320513	NC_071450.1	19691646
ACSS1	0.001142858	NC_071446.1	29627491
ACSS3	0.0	NC_071450.1	80323844
ACTA2	0.0	NC_071453.1	78172275
ACTBL2	0.000362713	NC_071443.1	149179662
ACTL10	0.00209699	NC_071446.1	3555619
ACTL8	0.0	NC_071448.1	51808973
ACTN1	0.0	NC_071451.1	99809550
ACTN4	0.0028011200000000003	NC_071463.1	32811904
ACTR3B	0.0	NC_071449.1	92758853
ACTR5	0.0	NC_071446.1	32182788
ACTRT2	0.0	NC_071448.1	38105646
ACVR1	0.0	NC_071447.1	68918387
ACVR1B	0.0004316393333333333	NC_071450.1	63914718
ACVR2A	4.979342857142857e-05	NC_071447.1	78906145
ACVRL1	0.000197161	NC_071450.1	63986239
ADAD1	0.0	NC_071444.1	71295698
ADAL	0.0010631232	NC_071451.1	26804033
ADAM10	0.0	NC_071451.1	2484132
ADAM12	0.00166667	NC_071453.1	116353016
ADAM19	0.0	NC_071443.1	18423213
ADAM20	0.000630915	NC_071451.1	101347371
ADAM22	0.00027123597368421056	NC_071449.1	58781055
ADAM23	0.0	NC_071447.1	124508697
ADAM33	0.0	NC_071446.1	9082410
ADAM7	0.008629991111111112	NC_071454.1	13911632
ADAM9	0.0	NC_071454.1	36787806
ADAMDEC1	0.0	NC_071454.1	13950732
ADAMTS12	0.0005445787234042553	NC_071443.1	168345463
ADAMTS13	0.0008184962962962964	NC_071442.1	179131877
ADAMTS14	0.0	NC_071453.1	55790780
ADAMTS17	0.0	NC_071447.1	7906823
ADAMTS18	0.0	NC_071461.1	31459357
ADAMTS19	0.0	NC_071443.1	76014007
ADAMTS2	0.00048100000000000004	NC_071443.1	69537533
ADAMTS20	0.0	NC_071450.1	28416677
ADAMTS3	0.0007284386363636364	NC_071444.1	121936730
ADAMTS6	7.386981818181817e-05	NC_071443.1	140774280
ADAMTS8	0.00209205	NC_071452.1	27973721
ADAMTS9	0.0	NC_071456.1	40134113
ADAMTSL1	4.5875777777777774e-05	NC_071442.1	121975386
ADAMTSL2	1.339136e-05	NC_071442.1	179263877
ADAMTSL3	0.0	NC_071447.1	23194051
ADAP1	0.0	NC_071443.1	56186146
ADAR	0.0	NC_071459.1	8560682
ADARB1	0.00017397375000000002	NC_071462.1	49011045
ADARB2	0.0	NC_071448.1	10117408
ADAT2	0.002666668	NC_071445.1	146291226
ADCK1	0.0	NC_071451.1	108698678
ADCY1	0.0	NC_071449.1	12859614
ADCY10	0.0	NC_071459.1	27920722
ADCY2	0.00115047	NC_071443.1	194757944
ADCY4	0.0	NC_071451.1	54438328
ADCY5	0.0	NC_071456.1	73619976
ADCY6	0.0	NC_071450.1	67242096
ADCY7	0.0	NC_071461.1	4767272
ADCY8	5.30785625e-05	NC_071457.1	64623899
ADCY9	0.0	NC_071453.1	3970533
ADCYAP1R1	0.0017329252222222221	NC_071449.1	24480018
ADD1	0.0	NC_071444.1	186439403
ADD3	0.0	NC_071453.1	99645016
ADGRA2	0.0017987333333333334	NC_071454.1	35593762
ADGRA3	0.0	NC_071444.1	167620693
ADGRB1	0.0	NC_071457.1	53351331
ADGRB2	0.0	NC_071448.1	65434211
ADGRB3	0.0	NC_071445.1	70043990
ADGRF1	0.0016666675	NC_071445.1	51642242
ADGRF2	0.0	NC_071445.1	52323013
ADGRF4	0.0	NC_071445.1	52349905
ADGRF5	0.003530036	NC_071445.1	51511961
ADGRG1	0.0	NC_071461.1	12194508
ADGRG3	0.0	NC_071461.1	12203594
ADGRG6	0.0	NC_071445.1	145267481
ADGRL2	0.0	NC_071448.1	116288894
ADGRL3	0.0	NC_071444.1	131487444
ADGRL4	0.0	NC_071448.1	113350265
ADGRV1	0.0	NC_071443.1	116592842
ADH7	0.0	NC_071444.1	94033149
ADISSP	0.0	NC_071446.1	9197472
ADM	0.001342282	NC_071452.1	72890207
ADNP	0.0	NC_071446.1	44179829
ADORA1	0.0	NC_071460.1	26345684
ADORA2A	0.0002805825	NC_071442.1	192010094
ADPGK	0.0007941541666666667	NC_071451.1	17144352
ADPRM	0.00112994	NC_071446.1	73303038
ADPRS	0.0	NC_071448.1	69779999
ADRA1A	0.00069979	NC_071454.1	11711688
ADRA1B	0.0	NC_071443.1	20873974
ADRA1D	0.00067295	NC_071446.1	9648898
ADRA2A	0.000729927	NC_071453.1	100652202
ADRA2B	0.000677505	NC_071455.1	3849605
ADRA2C	0.0	NC_071444.1	185531151
ADSS2	0.0016233775	NC_071460.1	38009413
ADTRP	0.0057970999999999995	NC_071445.1	17418074
AEN	0.006467456666666667	NC_071447.1	16101506
AFAP1	0.0	NC_071444.1	184329359
AFAP1L2	0.0014226937647058824	NC_071453.1	103885461
AFDN	0.0	NC_071445.1	170692435
AFF1	0.0	NC_071444.1	106586186
AFF2	0.0001275835	NC_071464.1	140901523
AFF4	0.0	NC_071443.1	72310558
AFG1L	0.0	NC_071445.1	110512524
AFP	0.0	NC_071444.1	120760238
AGAP1	0.0	NC_071447.1	153576354
AGAP2	0.0	NC_071450.1	58409462
AGAP3	0.0	NC_071449.1	94379726
AGFG1	0.0	NC_071447.1	145581425
AGMO	0.0	NC_071449.1	40438894
AGO2	0.0	NC_071457.1	55307197
AGO3	0.0003075975	NC_071448.1	69745162
AGO4	0.0	NC_071448.1	69511671
AGPAT1	0.0	NC_071445.1	35782430
AGPAT4	0.000830151	NC_071445.1	163787858
AGPAT5	0.0	NC_071454.1	6481562
AGPS	0.0	NC_071447.1	48794783
AGR2	0.0	NC_071449.1	38948518
AGT	0.0042680899999999996	NC_071460.1	16115525
AGTPBP1	0.0	NC_071442.1	94155570
AGTR1	0.0	NC_071458.1	29595620
AGTRAP	0.0	NC_071448.1	46727070
AHCTF1	0.000137969	NC_071460.1	35697252
AHDC1	0.0	NC_071448.1	61314490
AHR	0.0	NC_071449.1	38405766
AIFM1	0.0	NC_071464.1	121722453
AIFM2	0.0017942590909090909	NC_071453.1	56423325
AIFM3	0.0	NC_071442.1	190248074
AIG1	0.000389105	NC_071445.1	145952264
AIMP1	0.0011976040000000001	NC_071444.1	87175525
AJAP1	1.5012307692307691e-05	NC_071448.1	39657189
AJUBA	0.000268673	NC_071451.1	53154645
AK1	0.0008449511111111111	NC_071442.1	173553672
AK5	0.0	NC_071448.1	111682193
AK9	0.0	NC_071445.1	111731006
AKAIN1	0.0051414	NC_071454.1	53031954
AKAP10	0.0	NC_071446.1	79866591
AKAP13	0.0	NC_071447.1	28210954
AKAP5	0.0	NC_071451.1	95001625
AKAP6	0.00044802888888888893	NC_071451.1	62541900
AKAP7	0.0	NC_071445.1	133952065
AKAP8	0.0	NC_071463.1	13659728
AKAP8L	0.0	NC_071463.1	13635024
AKAP9	8.004353448275862e-06	NC_071449.1	54815324
AKIP1	0.0	NC_071452.1	71510451
AKIRIN2	0.00119048	NC_071445.1	89944747
AKNA	0.00161638	NC_071442.1	159714026
AKR1C1	0.00172414	NC_071448.1	6839187
AKT2	0.0	NC_071463.1	34388644
AKT3	0.0	NC_071460.1	38730707
AKTIP	0.0	NC_071461.1	8071757
ALAD	7.126575e-05	NC_071442.1	158746775
ALAS1	0.0	NC_071456.1	28494712
ALB	0.0	NC_071444.1	120813601
ALDH1A1	0.0	NC_071442.1	88711584
ALDH1A3	0.0	NC_071447.1	7349680
ALDH1B1	0.0	NC_071442.1	142392021
ALDH1L1	0.0	NC_071456.1	71116054
ALDH1L2	0.0	NC_071450.1	104440396
ALDH2	0.001086956	NC_071450.1	111151466
ALDH3A1	0.0	NC_071446.1	79664948
ALDH3A2	0.0	NC_071446.1	79594345
ALDH4A1	0.00013404820000000002	NC_071448.1	52874882
ALDH6A1	0.0	NC_071451.1	104895604
ALDH8A1	0.00268817	NC_071445.1	137707937
ALDOB	0.0026930649999999997	NC_071442.1	146615095
ALDOC	7.9719375e-05	NC_071446.1	101085439
ALG13	0.0	NC_071464.1	104189113
ALG3	0.0	NC_071456.1	6969420
ALG6	0.0	NC_071448.1	97617569
ALG9	0.00010211357142857142	NC_071452.1	9311715
ALOX12	0.0	NC_071446.1	69634631
ALOX15	0.000758005	NC_071446.1	64394767
ALOX5	0.0	NC_071453.1	34625299
ALOXE3	0.0011274	NC_071446.1	70727465
ALPK2	0.0017301	NC_071454.1	96612346
ALPK3	0.000369481	NC_071447.1	21847293
ALPL	0.0	NC_071448.1	55412940
ALS2	0.00186011875	NC_071447.1	119415807
ALX1	0.0	NC_071450.1	84438120
ALX3	0.0002418963333333333	NC_071448.1	145191164
ALX4	0.001171415	NC_071452.1	106026355
AMACR	0.00066845	NC_071443.1	168054492
AMBRA1	0.0003217505	NC_071452.1	108159565
AMER1	0.0	NC_071464.1	58517110
AMFR	0.0	NC_071461.1	10889440
AMMECR1	0.0	NC_071464.1	102931760
AMMECR1L	9.922435294117647e-05	NC_071447.1	33161286
AMN1	0.0	NC_071450.1	36243895
AMOT	0.0	NC_071464.1	105243897
AMOTL1	0.0013493250000000002	NC_071452.1	42152585
AMPD2	0.0	NC_071448.1	144804185
AMPD3	0.0	NC_071452.1	73046928
AMZ1	4.22296875e-05	NC_071443.1	17751438
ANAPC10	0.0	NC_071444.1	48099750
ANAPC2	0.00061576375	NC_071442.1	182671379
ANAPC4	0.0	NC_071444.1	164623007
ANAPC5	0.0	NC_071450.1	120982142
ANGEL1	0.00189394	NC_071451.1	107648627
ANGPT1	0.0	NC_071457.1	87764957
ANGPT4	0.002066115	NC_071446.1	6530270
ANGPTL1	0.0	NC_071459.1	17961685
ANGPTL2	0.0	NC_071442.1	172791914
ANGPTL7	0.0	NC_071448.1	46147865
ANK1	0.0	NC_071454.1	39607344
ANK2	4.5296457142857146e-05	NC_071444.1	79907082
ANK3	0.0	NC_071453.1	66450172
ANKDD1B	0.0	NC_071443.1	132227762
ANKFN1	0.00048572	NC_071446.1	105859294
ANKFY1	0.0	NC_071446.1	63917570
ANKIB1	4.6749181818181824e-05	NC_071449.1	54469248
ANKK1	0.0022222233333333333	NC_071452.1	10838250
ANKMY2	0.0	NC_071449.1	39129095
ANKRD11	0.00021998976923076922	NC_071461.1	43544144
ANKRD12	0.0	NC_071454.1	48700174
ANKRD13A	0.0	NC_071450.1	109411766
ANKRD13B	0.0	NC_071446.1	100047807
ANKRD13D	0.0	NC_071452.1	121135264
ANKRD17	0.0	NC_071444.1	121126726
ANKRD27	0.0	NC_071463.1	28115872
ANKRD29	0.0	NC_071454.1	61713441
ANKRD31	0.0009033424390243902	NC_071443.1	132679462
ANKRD42	0.0	NC_071452.1	53855852
ANKRD46	0.0	NC_071457.1	94630847
ANKRD49	0.00065445	NC_071452.1	42560681
ANKRD50	0.0	NC_071444.1	69033722
ANKRD55	0.0	NC_071443.1	150460935
ANKRD6	0.0	NC_071445.1	91833285
ANKRD61	0.0	NC_071443.1	13810656
ANKRD63	0.0	NC_071451.1	42103402
ANKRD9	0.0024060235	NC_071451.1	133311429
ANKS1A	0.0	NC_071445.1	39394596
ANKS1B	1.7162666666666664e-05	NC_071450.1	98303013
ANKS3	0.0	NC_071453.1	4546213
ANKUB1	0.0	NC_071458.1	28514923
ANKZF1	0.0	NC_071447.1	137450836
ANLN	0.0	NC_071449.1	4355611
ANO10	0.0	NC_071456.1	19917386
ANO2	0.0	NC_071450.1	17428611
ANO4	0.0	NC_071450.1	100516868
ANO5	0.0	NC_071452.1	84711210
ANO6	0.0	NC_071450.1	26485916
ANTXR2	0.000981355	NC_071444.1	114105733
ANXA1	0.0	NC_071442.1	88502940
ANXA13	0.0004835133333333333	NC_071457.1	71917629
ANXA3	0.0	NC_071444.1	115543609
ANXA5	0.0	NC_071444.1	72085446
ANXA8L1	0.0019758479999999997	NC_071453.1	37983280
AOAH	0.00260417	NC_071449.1	4407933
AOPEP	3.19420618556701e-05	NC_071442.1	77369151
AOX1	0.0	NC_071447.1	118049800
AOX2	0.0007878973684210526	NC_071447.1	118309615
AP1AR	0.0	NC_071444.1	81102878
AP1G1	0.0	NC_071461.1	26744535
AP1M1	0.000214592	NC_071463.1	14502794
AP2A1	0.0017470510000000001	NC_071463.1	42157296
AP3B1	0.0	NC_071443.1	129818336
AP3B2	0.0	NC_071447.1	22264319
AP3D1	0.0	NC_071463.1	1733819
AP3S1	0.0	NC_071443.1	90735443
AP4E1	0.0	NC_071451.1	34443850
AP4S1	0.0	NC_071451.1	61341910
AP5B1	0.0001863935	NC_071452.1	119615429
AP5M1	0.000370989	NC_071451.1	87831197
APAF1	0.0	NC_071450.1	98231009
APBA1	0.0	NC_071442.1	92277281
APBA2	0.00917431	NC_071447.1	5479108
APBB1	0.0	NC_071452.1	68805489
APBB1IP	0.001766785	NC_071448.1	24923541
APBB2	0.0038961042857142856	NC_071444.1	148820794
APC	3.307325e-05	NC_071443.1	93935651
APCDD1	0.0	NC_071454.1	47383262
APCDD1L	0.0008711655	NC_071446.1	51790712
APEH	0.00019342363636363637	NC_071456.1	26043223
APEX2	0.0	NC_071464.1	53588202
APLNR	0.00047081	NC_071452.1	111609135
APLP2	0.0008616981818181818	NC_071452.1	27684207
APOA5	0.00013877316666666668	NC_071452.1	14216231
APOBEC2	0.0	NC_071445.1	45659319
APOLD1	0.000865801	NC_071450.1	8601479
APP	0.0	NC_071462.1	30553336
APPL1	0.0	NC_071456.1	68756300
APPL2	0.0	NC_071450.1	104623289
AQP1	0.001185764	NC_071449.1	24626980
AQP2	0.0	NC_071450.1	66073310
AQP4	0.000678733	NC_071454.1	65122115
AQP5	0.00045819000000000003	NC_071450.1	66057588
AQR	0.0	NC_071451.1	47790870
AR	0.0	NC_071464.1	61601996
ARAP1	2.1958666666666667e-05	NC_071452.1	64914023
ARAP2	0.0	NC_071444.1	153722718
ARAP3	0.001983517339805825	NC_071443.1	38134322
AREG	0.0	NC_071444.1	119827480
AREL1	0.0	NC_071451.1	105481612
ARF1	0.0	NC_071460.1	35197457
ARF4	0.0	NC_071456.1	33178519
ARFGAP1	0.0	NC_071446.1	56508523
ARFGEF1	0.0	NC_071457.1	21369295
ARFGEF2	0.0	NC_071446.1	42042356
ARFGEF3	0.0	NC_071445.1	141104893
ARFIP2	0.0	NC_071452.1	68876730
ARG1	0.0	NC_071445.1	134304862
ARHGAP10	0.0	NC_071444.1	44831404
ARHGAP12	0.00307377	NC_071448.1	29804164
ARHGAP15	0.0	NC_071447.1	83120884
ARHGAP17	0.0	NC_071453.1	23307514
ARHGAP18	0.0	NC_071445.1	132318559
ARHGAP19	0.00100934	NC_071453.1	86720718
ARHGAP20	0.0	NC_071452.1	8126665
ARHGAP21	0.0	NC_071448.1	23205513
ARHGAP22	0.0	NC_071453.1	36840228
ARHGAP24	0.0	NC_071444.1	107737150
ARHGAP26	0.00042735	NC_071443.1	39382934
ARHGAP27	0.0003211714285714286	NC_071446.1	81783528
ARHGAP28	0.0	NC_071454.1	51276429
ARHGAP29	4.4197891891891895e-05	NC_071448.1	129278080
ARHGAP31	0.0	NC_071456.1	77375493
ARHGAP32	0.0	NC_071452.1	26446370
ARHGAP35	0.00016134233333333332	NC_071463.1	39470870
ARHGAP39	0.0	NC_071457.1	51369717
ARHGAP40	0.0	NC_071446.1	32029839
ARHGAP42	8.9238e-05	NC_071452.1	35346176
ARHGAP44	0.0	NC_071446.1	75617212
ARHGAP5	0.0	NC_071451.1	62487893
ARHGDIA	0.00293686	NC_071446.1	133549415
ARHGEF10L	0.0	NC_071448.1	51560910
ARHGEF11	0.0015074579347826085	NC_071459.1	10911882
ARHGEF12	0.0	NC_071452.1	17870603
ARHGEF16	0.0	NC_071448.1	38440211
ARHGEF17	0.0013947414285714285	NC_071452.1	64308249
ARHGEF25	0.0	NC_071450.1	58518153
ARHGEF26	0.0	NC_071458.1	24245430
ARHGEF28	0.0	NC_071443.1	133923059
ARHGEF3	0.0	NC_071456.1	69094988
ARHGEF37	0.0	NC_071443.1	46368996
ARHGEF38	0.0	NC_071444.1	87947992
ARHGEF4	0.000572902	NC_071447.1	30605220
ARHGEF40	0.0	NC_071451.1	51366651
ARHGEF7	0.0	NC_071442.1	26008340
ARID1A	0.0	NC_071448.1	60483531
ARID1B	0.000319285	NC_071445.1	159827011
ARID2	0.0	NC_071450.1	25958712
ARID3B	0.0007535330769230769	NC_071451.1	18915470
ARID4A	0.0	NC_071451.1	88864844
ARID4B	0.0	NC_071460.1	46318908
ARIH1	0.000593824	NC_071451.1	17056049
ARK2N	0.0	NC_071454.1	84308614
ARL14EPL	0.0	NC_071443.1	90546086
ARL15	0.0	NC_071443.1	152739539
ARL3	0.0	NC_071453.1	92360852
ARL5B	0.0	NC_071448.1	17659709
ARL6	0.0004100033333333333	NC_071462.1	733966
ARL6IP4	0.0	NC_071450.1	122612671
ARMC12	0.00028818400000000003	NC_071445.1	40165450
ARMC2	0.0	NC_071445.1	111058990
ARMC3	0.0	NC_071448.1	21646752
ARMC6	0.000886674	NC_071463.1	17390006
ARMH3	0.0	NC_071453.1	91620598
ARMH4	0.00047014666666666665	NC_071451.1	88672418
ARMT1	0.0	NC_071445.1	154445157
ARNT	0.0	NC_071459.1	4213159
ARNT2	0.0	NC_071447.1	25363911
ARPC1B	0.0	NC_071443.1	12247786
ARPC5L	0.0	NC_071442.1	170517623
ARPIN	0.0	NC_071447.1	17326573
ARPP19	0.00108108	NC_071451.1	36051365
ARPP21	0.0	NC_071458.1	66803070
ARRB1	0.0013665794545454546	NC_071452.1	62402991
ARSB	0.0	NC_071443.1	128812755
ARSG	0.0	NC_071446.1	120528824
ARSI	0.0	NC_071443.1	47075266
ARSJ	0.0	NC_071444.1	79395819
ARSK	0.0	NC_071443.1	111829503
ART3	0.0002834465	NC_071444.1	118171428
ARX	0.000938086	NC_071464.1	24353017
ASAH2	0.0	NC_071453.1	76191029
ASAP1	0.0	NC_071457.1	65534418
ASAP3	0.0	NC_071448.1	57298097
ASB1	0.000523195	NC_071447.1	156235333
ASB12	0.0	NC_071464.1	58540384
ASB2	0.0	NC_071451.1	124643213
ASB4	0.0	NC_071449.1	51364196
ASCC1	0.0	NC_071453.1	54535515
ASCC2	0.0010593213559322032	NC_071442.1	197516802
ASCC3	0.0009950244776119402	NC_071445.1	102874147
ASCL1	0.0	NC_071450.1	102442839
ASH2L	0.0	NC_071454.1	35814556
ASIC1	0.0	NC_071450.1	65941777
ASIC2	0.0	NC_071446.1	97081073
ASIP	0.0	NC_071446.1	3007209
ASPH	0.00424961	NC_071457.1	16011321
ASPN	0.001838235	NC_071442.1	80121285
ASPSCR1	0.002682161590909091	NC_071446.1	133688819
ASS1	0.0	NC_071442.1	176217112
ASTE1	0.0	NC_071458.1	46243048
ASTL	0.0	NC_071455.1	3860354
ASTN1	0.002654016	NC_071459.1	19825769
ASTN2	0.0011761242105263157	NC_071442.1	162081545
ASXL1	0.0	NC_071446.1	4696919
ASZ1	0.0011494259999999998	NC_071449.1	85259531
ATAD1	0.0	NC_071453.1	77002704
ATAT1	0.000151515	NC_071445.1	32691136
ATE1	0.0	NC_071453.1	111808092
ATF6B	0.0	NC_071445.1	35726065
ATF7IP	0.0	NC_071450.1	6918338
ATF7IP2	0.0	NC_071453.1	10302507
ATG13	0.0	NC_071452.1	108452868
ATG16L1	0.0	NC_071447.1	151096344
ATG16L2	0.0	NC_071452.1	64855078
ATG2A	0.0	NC_071452.1	118745067
ATG2B	0.00017644166666666667	NC_071451.1	127012981
ATG4A	0.0	NC_071464.1	100808204
ATG4B	0.0018130000000000002	NC_071447.1	159393420
ATG4C	0.0	NC_071448.1	97142582
ATG5	0.0	NC_071445.1	108406857
ATG7	0.0	NC_071456.1	62445170
ATG9B	0.0002323755855855856	NC_071449.1	94504826
ATIC	0.0078125	NC_071447.1	133630955
ATL1	0.0	NC_071451.1	80972435
ATM	0.0	NC_071452.1	5919946
ATOSA	9.182733333333333e-05	NC_071451.1	36081420
ATP10B	0.00020729625	NC_071443.1	21537278
ATP10D	0.0	NC_071444.1	142423973
ATP11A	0.0	NC_071442.1	27487710
ATP11B	0.00862069	NC_071456.1	4684087
ATP11C	0.0	NC_071464.1	131974175
ATP13A1	0.00045683000000000003	NC_071463.1	17997616
ATP13A3	0.0	NC_071456.1	17095875
ATP13A4	0.0	NC_071456.1	16099083
ATP13A5	0.0035128216666666674	NC_071456.1	15972139
ATP1B4	7.156176470588236e-05	NC_071464.1	112236438
ATP2A1	0.0	NC_071453.1	26869699
ATP2A3	0.004025766666666666	NC_071446.1	63702065
ATP2B1	0.0	NC_071450.1	87989996
ATP2B2	0.00041501348066298337	NC_071456.1	61443880
ATP2C1	0.0	NC_071458.1	46245030
ATP4B	0.0	NC_071442.1	28453514
ATP5PO	0.0	NC_071462.1	38225804
ATP6AP1L	0.00369458	NC_071443.1	125411070
ATP6V0A1	0.00016339875	NC_071446.1	118031102
ATP6V0A2	0.0	NC_071450.1	123370213
ATP6V0D2	0.0	NC_071457.1	39238606
ATP7A	0.0	NC_071464.1	72417650
ATP7B	0.002629703888888889	NC_071442.1	63216198
ATP8A1	0.0004089261764705882	NC_071444.1	147307241
ATP8A2	0.000293542	NC_071446.1	141280155
ATP8B4	0.0012723245625	NC_071451.1	33350516
ATP9B	0.0	NC_071454.1	116437632
ATPAF1	0.0	NC_071448.1	80458812
ATPAF2	0.00026581636363636363	NC_071446.1	65244661
ATPSCKMT	0.002491465	NC_071443.1	192174027
ATRIP	0.0	NC_071456.1	24855711
ATRN	0.0001563475	NC_071446.1	8889236
ATRNL1	6.443022580645161e-05	NC_071453.1	104889922
ATXN1L	0.0	NC_071461.1	26699941
ATXN7	0.0	NC_071456.1	39514777
ATXN7L1	0.000110538	NC_071449.1	73381070
ATXN7L2	0.0	NC_071448.1	144660359
AUNIP	0.0	NC_071448.1	59571161
AURKA	0.0	NC_071446.1	49779109
AUTS2	0.0	NC_071443.1	4390859
AVEN	0.0006901300000000001	NC_071451.1	49372303
AVPI1	0.000834725	NC_071453.1	87138489
AVPR1A	0.000617284	NC_071450.1	52629913
AVPR1B	0.002793295	NC_071460.1	29807621
AWAT2	0.0	NC_071464.1	64214416
AXDND1	0.0	NC_071459.1	17394408
AXIN2	0.0	NC_071446.1	119882668
AZIN2	0.0	NC_071448.1	66793578
B3GALT1	0.0	NC_071447.1	58542708
B3GALT2	0.000426864	NC_071459.1	44022891
B3GALT6	0.0	NC_071448.1	36619554
B3GAT1	0.0	NC_071452.1	32222967
B3GAT3	0.0	NC_071452.1	116659052
B3GLCT	0.0	NC_071446.1	146567007
B3GNT5	0.0	NC_071456.1	6096922
B3GNT6	0.00136126	NC_071452.1	60617360
B3GNTL1	0.0009775165	NC_071446.1	134665780
B4GALT1	0.00064914	NC_071442.1	137329776
B4GALT4	0.0	NC_071456.1	77539888
B4GALT7	0.000319285	NC_071443.1	65230727
BAALC	0.0015493600000000003	NC_071457.1	91890402
BACE2	0.0	NC_071462.1	45272303
BACH2	0.0035461	NC_071445.1	92512895
BAG2	0.0	NC_071445.1	61648900
BAHCC1	0.00017571966666666666	NC_071446.1	133202523
BAHD1	0.00077400725	NC_071451.1	41921763
BAIAP2	0.0	NC_071446.1	132860468
